id	gender	name
307	MALE	Abraham Lincoln
339	FEMALE	Ayn Rand
340	MALE	Alain Connes
344	MALE	Allan Dwan
595	MALE	Andre Agassi
628	MALE	Aldous Huxley
676	MALE	Andrei Tarkovsky
700	MALE	Arthur Schopenhauer
711	MALE	Albert Sidney Johnston
736	MALE	Albert Einstein
783	MALE	Alexander the Great
784	MALE	Alfred Korzybski
808	MALE	Alfred Hitchcock
841	MALE	Attila
851	MALE	Alfred Nobel
852	MALE	Alexander Graham Bell
864	MALE	Andy Warhol
872	MALE	Akira Kurosawa
890	FEMALE	Anna Kournikova
892	MALE	Alfons Maria Jakob
910	MALE	Arne Kaijser
915	MALE	Andrey Markov
924	MALE	A. A. Milne
930	MALE	Alvin Toffler
954	MALE	Albert Speer
974	FEMALE	Ada Lovelace
980	MALE	August Derleth
983	MALE	Albert Camus
984	FEMALE	Agatha Christie
1006	MALE	Aaron
1017	MALE	Allen Ginsberg
1020	MALE	Anatoly Karpov
1028	MALE	Aristophanes
1029	MALE	Albert Schweitzer
1051	MALE	Alexis Carrel
1057	MALE	Anatole France
1058	MALE	AndrÃ© Gide
1130	MALE	Avicenna
1135	MALE	Abner Doubleday
1141	MALE	Augustin-Jean Fresnel
1152	MALE	Alan Garner
1177	MALE	Aleister Crowley
1208	MALE	Alan Turing
1239	MALE	Ashoka
1256	MALE	Antoninus Pius
1273	MALE	Augustus
1293	MALE	Alfred Lawson
1331	MALE	Arabian Prince
1370	MALE	Ambrose
1384	MALE	Amos Bronson Alcott
1425	MALE	Antonio Vivaldi
1436	MALE	Abraham
1449	MALE	Alan Kay
1485	MALE	Alain de Lille
1494	MALE	Alfred Russel Wallace
1509	MALE	Albert the Bear
1513	MALE	Albert of Mainz
1514	MALE	Albert, Duke in Prussia
1527	MALE	Ahmed I
1528	MALE	Ahmed II
1529	MALE	Ahmed III
1552	MALE	Antonio Agliardi
1553	FEMALE	Agnes of Merania
1560	MALE	Ahmad Shah Durrani
1563	MALE	Arthur Aikin
1565	MALE	Aimoin
1570	MALE	Alaric I
1573	MALE	Albertus Magnus
1576	MALE	Afonso de Albuquerque
1577	MALE	Alcaeus of Mytilene
1578	MALE	Alcamenes
1583	MALE	Ealdred (archbishop of York)
1589	MALE	Alexander Jagiellon
1591	MALE	Alexander II of Russia
1592	MALE	Alexander III of Russia
1593	MALE	Alexander I of Scotland
1594	MALE	Alexander II of Scotland
1595	MALE	Alexander I of Serbia
1596	MALE	Alexander III of Scotland
1613	MALE	Alexios I Komnenos
1615	MALE	Alexios II Komnenos
1616	MALE	Alexios III Angelos
1620	MALE	Alexei Petrovich, Tsarevich of Russia
1623	MALE	Andrew Jackson
1624	MALE	Andrew Johnson
1625	MALE	Aleksandr Solzhenitsyn
1640	MALE	Alfred the Great
1642	MALE	Alessandro Algardi
1643	MALE	Alger of LiÃ¨ge
1647	MALE	Alessandro Allori
1656	MALE	Amalric of Bena
1657	MALE	Afonso I of Portugal
1658	MALE	Afonso II of Portugal
1659	MALE	Afonso III of Portugal
1660	MALE	Afonso IV of Portugal
1661	MALE	Afonso V of Portugal
1662	MALE	Afonso VI of Portugal
1676	MALE	Alfonso XII of Spain
1677	MALE	Alfonso XIII of Spain
1678	MALE	Alphonsus a Sancta Maria
1679	MALE	Alfonso the Battler
1683	MALE	Alfonso III of Aragon
1684	MALE	Alfonso IV of Aragon
1685	MALE	Amasis II
1686	MALE	Alfonso V of Aragon
1700	MALE	August Wilhelm Ambros
1702	MALE	Alfred of Beverley
1714	MALE	Autpert Ambrose
1716	MALE	St. Ambrose Traversari
1737	MALE	Anaxagoras
1751	MALE	Alexander Anderson (mathematician)
1754	MALE	Andrea Andreani
1755	MALE	Andrew II of Hungary
1758	MALE	AndrÃ© de Longjumeau
1760	MALE	Andronikos III Palaiologos
1767	MALE	Ammianus Marcellinus
1790	MALE	Alexander Selkirk
1806	MALE	Arnold Schwarzenegger
1814	MALE	Adam Smith
1822	MALE	Antoine Lavoisier
1825	MALE	Hermann Kolbe
1828	MALE	Amitabh Bachchan
1842	MALE	Augustin-Louis Cauchy
1844	MALE	Archimedes
1869	MALE	Alfred Jarry
1871	MALE	Amalric I of Jerusalem
1872	MALE	Amalric II of Jerusalem
1873	MALE	Anthemius of Tralles
1874	MALE	Absalon
1875	MALE	Adhemar of Le Puy
1879	MALE	Alfonso Jordan
1880	MALE	Ambroise
1893	MALE	Albert Spalding
1923	MALE	Alessandro Volta
1937	MALE	Alexander Fleming
1938	MALE	Andrew Carnegie
1949	MALE	Andreas Capellanus
1960	MALE	Andrea Alciato
1975	MALE	Alan Ayckbourn
1988	MALE	Abel Tasman
2009	MALE	Alvar Aalto
2018	MALE	A. J. Ayer
2019	MALE	AndrÃ© Weil
2021	MALE	Atle Selberg
2023	MALE	Aeschylus
2027	MALE	Andrew Wiles
2029	FEMALE	Anne BrontÃ«
2030	MALE	Augustine of Hippo
2038	MALE	August Horch
2042	MALE	Alexander Grothendieck
2062	MALE	Amerigo Vespucci
2063	MALE	Aristide Maillol
2064	MALE	Antonio Canova
2065	MALE	Auguste Rodin
2077	MALE	Adam Weishaupt
2099	MALE	Andrew Tridgell
2108	MALE	Adalbert of Prague
2110	MALE	Ã†lfheah of Canterbury
2126	FEMALE	Ani DiFranco
2144	FEMALE	Aaliyah
2151	MALE	Anton Drexler
2176	MALE	Ahmad Shah Massoud
2180	MALE	Arcadius
2198	MALE	Abdulaziz al-Omari
2201	MALE	Aage Bohr
2241	MALE	Antonio Salieri
2274	MALE	Arthur Eddington
2282	MALE	Alexis Korner
2304	MALE	Saint Titus
2310	MALE	Arthur Miller
2313	MALE	Anton Diabelli
2329	MALE	Alfonso Leng
2339	MALE	Avery Hopwood
2340	MALE	Antipope Felix II
2363	MALE	Alessandro Scarlatti
2371	MALE	Albert Pike
2376	MALE	Abdul Rashid Dostum
2381	MALE	Andreas Aagesen
2383	MALE	Alois Alzheimer
2391	MALE	Akio Morita
2397	MALE	Anthony Hopkins
2398	MALE	Ardal O'Hanlon
2402	MALE	Albrecht DÃ¼rer
2406	MALE	Alban Berg
2422	FEMALE	Ann Widdecombe
2425	MALE	Aurangzeb
2433	MALE	Alberto Giacometti
2440	MALE	Albrecht Altdorfer
2447	MALE	Anton Chekhov
2490	MALE	Ambrosius Bosschaert
2519	FEMALE	Adelaide of Italy
2526	MALE	Agostino Carracci
2543	MALE	Alexander Kerensky
2552	MALE	Adam of Bremen
2563	MALE	Arthur Phillip
2575	MALE	AndrÃ© the Giant
2607	MALE	Antoine Thomson d'Abbadie
2608	MALE	Abba Mari
2613	MALE	George Abbot (bishop)
2674	MALE	Abd al-Latif al-Baghdadi (medieval writer)
2679	MALE	Abd ar-Rahman IV
2695	MALE	Abdur Rahman Khan
2705	FEMALE	Amy Grant
2707	MALE	Arthur William Ã  Beckett
2722	MALE	Anders Celsius
2723	MALE	Adam Carolla
2729	MALE	Arthur J. Stone
2758	MALE	Aelbert Cuyp
2786	MALE	Andrei Sakharov
2812	MALE	Aron Nimzowitsch
2847	FEMALE	Aung San Suu Kyi
2851	MALE	Abraham Joshua Heschel
2865	MALE	Andrzej Sapkowski
2868	FEMALE	Amanda Hesser
2875	MALE	Archduke Charles, Duke of Teschen
2877	MALE	Augustine of Canterbury
2881	MALE	Alexander of Hales
2893	MALE	Alex Lifeson
2907	MALE	Axayacatl
2911	MALE	Amr Diab
2919	FEMALE	AnaÃ¯s Nin
2944	MALE	Ariel Sharon
2948	MALE	Agner Krarup Erlang
2999	MALE	Arthur Laurents
3003	MALE	Adrian Lamo
3010	MALE	Alan Jay Lerner
3012	MALE	Al Capp
3013	FEMALE	Ann Druyan
3017	MALE	Alexey Pajitnov
3029	MALE	Arthur Jensen
3075	MALE	Albert Brooks
3089	FEMALE	Angela Vincent
3092	MALE	Akira Toriyama
3110	MALE	Andrew S. Tanenbaum
3117	MALE	Abu Zubaydah
3132	MALE	Adolphe Sax
3192	MALE	Adin Steinsaltz
3198	MALE	A. E. Housman
3212	MALE	Al Capone
3221	MALE	Ahmed al-Nami
3222	MALE	Ahmed al-Haznawi
3235	MALE	Albert Frederick, Duke of Prussia
3269	MALE	Anthony of Saxony
3270	MALE	Albert III, Duke of Saxony
3273	MALE	Arlo Guthrie
