analogy,expected,result,cos_similarity,cos_distance
homem -> mulher,deputada,deputada,1.0,0.0
mulher -> homem,deputado,deputado,1.0,0.0
homem -> mulher,presidenta,primeira-dama,0.6311851739883423,0.3688148260116577
mulher -> homem,presidente,goza,0.438460111618042,0.561539888381958
homem -> mulher,senadora,senadora,1.0,0.0
mulher -> homem,senador,senador,1.0,0.0
homem -> mulher,juíza,procuradora-geral,0.7455299496650696,0.2544700503349304
mulher -> homem,juiz,juiz,1.0000001192092896,-1.1920928955078125e-07
homem -> mulher,advogada,advogada,0.9999999403953552,5.960464477539063e-08
mulher -> homem,advogado,advogado,0.9999999403953552,5.960464477539063e-08
homem -> mulher,professora,professora,1.0,0.0
mulher -> homem,professor,professor,1.0,0.0
homem -> mulher,engenheira,engenheira,0.9999999403953552,5.960464477539063e-08
mulher -> homem,engenheiro,engenheiro,1.0,0.0
homem -> mulher,cantora,cantora,1.0,0.0
mulher -> homem,cantor,cantor,1.0,0.0
homem -> mulher,musicista,pianista,0.7380742430686951,0.26192575693130493
mulher -> homem,músico,rítmico,0.6658197045326233,0.3341802954673767
homem -> mulher,dançarina,dançarina,1.0,0.0
mulher -> homem,dançarino,dançarino,1.0,0.0
homem -> mulher,empresária,empresária,0.9999999403953552,5.960464477539063e-08
mulher -> homem,empresário,empresário,1.0000001192092896,-1.1920928955078125e-07
homem -> mulher,esposa,esposa,0.9999999403953552,5.960464477539063e-08
mulher -> homem,marido,filho,0.5564212203025818,0.4435787796974182
homem -> mulher,mãe,mãe,1.0,0.0
mulher -> homem,pai,pai,0.9999999403953552,5.960464477539063e-08
homem -> mulher,filha,filha,1.0,0.0
mulher -> homem,filho,filho,1.0,0.0
homem -> mulher,casada,casada,1.0,0.0
mulher -> homem,casado,filho,0.6350650787353516,0.36493492126464844
homem -> mulher,programadora,engenheira,0.5826738476753235,0.4173261523246765
mulher -> homem,programador,empirista,0.5559568405151367,0.4440431594848633
homem -> mulher,pesquisadora,pesquisadora,1.0,0.0
mulher -> homem,pesquisador,pesquisador,1.0,0.0
homem -> mulher,astrônoma,paleontóloga,0.8355271816253662,0.1644728183746338
mulher -> homem,astrônomo,welchman,0.6742072701454163,0.32579272985458374
homem -> mulher,médica,médica,1.0,0.0
mulher -> homem,médico,cirurgião,0.8218010067939758,0.17819899320602417
homem -> mulher,enfermeira,doutorada,0.48359090089797974,0.5164090991020203
mulher -> homem,enfermeiro,açougueiro,0.5395076870918274,0.4604923129081726
homem -> mulher,filósofa,filósofa,1.0,0.0
mulher -> homem,filósofo,espiritualista,0.7891596555709839,0.2108403444290161
homem -> mulher,arquiteta,escultora,0.7669584155082703,0.23304158449172974
mulher -> homem,arquiteto,gasparetto,0.5198505520820618,0.48014944791793823
homem -> mulher,neurocirurgiã,arqueóloga,0.7195250391960144,0.2804749608039856
mulher -> homem,neurocirurgião,curvou,0.6385876536369324,0.3614123463630676
homem -> mulher,divorciada,divorciou-se,0.7961432933807373,0.2038567066192627
mulher -> homem,divorciado,odets,0.660993754863739,0.339006245136261
homem -> mulher,amiga,amiga,1.0,0.0
mulher -> homem,amigo,amigo,1.0,0.0
homem -> mulher,ministra,ministra,0.9999999403953552,5.960464477539063e-08
mulher -> homem,ministro,ministro,1.0,0.0
homem -> mulher,secretária,secretária,1.0,0.0
mulher -> homem,secretário,secretário,1.0,0.0
homem -> mulher,assessora,assessora,1.0,0.0
mulher -> homem,assessor,assessor,0.9999999403953552,5.960464477539063e-08
homem -> mulher,executiva,executiva,0.9999999403953552,5.960464477539063e-08
mulher -> homem,executivo,executivo,1.0,0.0
homem -> mulher,diretora,diretora,1.0,0.0
mulher -> homem,diretor,diretor,1.0,0.0
homem -> mulher,fotógrafa,fotógrafa,0.9999999403953552,5.960464477539063e-08
mulher -> homem,fotógrafo,bukowski,0.5367214679718018,0.46327853202819824
homem -> mulher,pintora,georgina,0.7376461625099182,0.2623538374900818
mulher -> homem,pintor,alma-tadema,0.6725085377693176,0.3274914622306824
homem -> mulher,atriz,atriz,1.0,0.0
mulher -> homem,ator,ator,1.0,0.0
homem -> mulher,escritora,escritora,1.0,0.0
mulher -> homem,escritor,escritor,1.0,0.0
homem -> mulher,tia,paterna,0.7562657594680786,0.2437342405319214
mulher -> homem,tio,tio,1.0,0.0
homem -> mulher,irmã,irmã,1.0,0.0
mulher -> homem,irmão,irmão,1.0,0.0
homem -> mulher,enteada,meia-irmã,0.8180475234985352,0.18195247650146484
mulher -> homem,enteado,pepys,0.6924353241920471,0.3075646758079529
homem -> mulher,dama,dama,1.0,0.0
mulher -> homem,cavalheiro,humbert,0.5572314858436584,0.44276851415634155
homem -> mulher,ladra,prostituta,0.6515530943870544,0.34844690561294556
mulher -> homem,ladrão,cartomante,0.5980178117752075,0.4019821882247925
homem -> mulher,blogueira,joice,0.73177570104599,0.26822429895401
mulher -> homem,blogueiro,misógino,0.6974366903305054,0.30256330966949463
homem -> mulher,bibliotecária,arquivista,0.5162861347198486,0.48371386528015137
mulher -> homem,bibliotecário,lanre,0.5279411673545837,0.47205883264541626
homem -> mulher,bióloga,geóloga,0.8775238394737244,0.12247616052627563
mulher -> homem,biólogo,paleobotânico,0.8384859561920166,0.1615140438079834
homem -> mulher,geóloga,geóloga,1.0,0.0
mulher -> homem,geólogo,paleobotânico,0.8619591593742371,0.13804084062576294
homem -> mulher,cuidadora,neurocirurgiã,0.6705225110054016,0.3294774889945984
mulher -> homem,cuidador,cômodo,0.7097643613815308,0.29023563861846924
homem -> mulher,delegada,delegada,1.0,0.0
mulher -> homem,delegado,delegado,1.0,0.0
homem -> mulher,cirurgiã,médica,0.6960885524749756,0.3039114475250244
mulher -> homem,cirurgião,hutcheson,0.5332265496253967,0.46677345037460327
homem -> mulher,torcedora,regatas,0.7743372917175293,0.2256627082824707
mulher -> homem,torcedor,queixada,0.6493068933486938,0.35069310665130615
homem -> mulher,sócia,sócia,1.0,0.0
mulher -> homem,sócio,sócio,1.0,0.0
homem -> mulher,programadora,engenheira,0.5826738476753235,0.4173261523246765
mulher -> homem,programador,empirista,0.5559568405151367,0.4440431594848633
homem -> mulher,garçonete,recepcionista,0.8458690047264099,0.1541309952735901
mulher -> homem,garçom,cozinheiro,0.7493081092834473,0.25069189071655273
homem -> mulher,santa,santa,1.0,0.0
mulher -> homem,santo,aflitos,0.5627933740615845,0.4372066259384155
